,BJD,rv,cc,mean_wv_shift
0,2455628.7781655,-9750.000000000018,300045828.8134589,-0.17390996414671483
1,2454571.56813263,-9520.000000000022,580903064.8150747,-0.16980130870541046
2,2454571.56813263,-9520.000000000022,580903064.8150747,-0.16980130870541046
3,2454807.86477811,-9500.000000000024,581817702.9168686,-0.16946041675905216
4,2454530.71158562,-9480.000000000024,1301673213.0783072,-0.16909479229981472
5,2455694.53151038,-9560.000000000022,576873181.1032226,-0.17051143391100287
6,2454422.85207867,-9500.000000000024,873891339.9860853,-0.16945962451922109
7,2455616.78655121,-9640.00000000002,510502581.6056892,-0.17195009088219956
8,2455646.64155106,-9250.00000000003,377874922.64217526,-0.164988606533211
9,2453759.77268166,-9500.000000000024,1036318498.880984,-0.16945962451922109
10,2454851.85543045,-9490.000000000024,592356821.132982,-0.16927997407089415
11,2455637.63284642,-9760.000000000018,212056395.43146056,-0.17408719965524114
12,2455641.56953994,-9230.00000000003,534440967.41326153,-0.16463247920582222
13,2455684.59550497,-9920.000000000015,596030351.4716245,-0.17693406812108844
14,2454776.86402872,-9490.000000000024,414636616.56597626,-0.1692799740708941
15,2455228.84825831,-9500.000000000024,226750153.3288855,-0.16945740624769415
16,2455578.76441911,-9490.000000000024,382399553.11594224,-0.16928029063324135
17,2454881.84406762,-9740.000000000018,549527394.4951425,-0.17373516307927842
18,2455620.7566891,-9480.000000000024,463681583.4154541,-0.16909510852857668
19,2455659.61971979,-9420.000000000025,466556688.0732071,-0.1680177825807257
20,2455630.58224976,-9470.000000000024,611924642.632638,-0.16891546894557005
21,2455574.86387678,-9500.000000000024,560374255.3331938,-0.1694585153834576
22,2454804.8714334,-9500.000000000024,492258307.47383416,-0.16946041675905216
23,2455640.67772865,-9450.000000000024,509942355.05611044,-0.1685561978213011
24,2455275.63403608,-10210.000000000007,310324549.7461763,-0.18211335332302084
25,2455613.73241344,-9480.000000000024,356203112.1297549,-0.16909637344362471
26,2455611.78178912,-9890.000000000015,558703440.0260823,-0.1764116689733192
27,2455248.84351007,-9480.000000000024,495041894.5628617,-0.1690973221299107
28,2455634.72083633,-9460.000000000024,500860178.1369667,-0.16873598982394072
29,2455676.67097411,-9250.00000000003,523233133.12275565,-0.16498413246673824
30,2454879.71042652,-9480.000000000024,390563319.4482481,-0.1690973221299107
31,2455681.61094,-9570.000000000022,435673977.2329762,-0.17069107576941364
32,2455677.58146962,-9580.000000000022,631128568.8027222,-0.1708700811791773
33,2454852.71653772,-9490.000000000024,685010587.0291488,-0.16927997407089415
34,2454883.70314954,-9770.000000000018,635221790.6946689,-0.17426948433366035
35,2454527.70032644,-9480.000000000024,1177270036.1345806,-0.16909542475733874
36,2455685.48119316,-9310.000000000027,575599463.2357092,-0.16605324609510816
37,2454805.79096924,-9500.000000000024,423108732.38447005,-0.16946057520701832
38,2454885.72885163,-9810.000000000016,607640963.757671,-0.1749826686097641
39,2455586.75519443,-9500.000000000024,463009806.50438154,-0.16945772314362653
40,2455583.78970625,-9500.000000000024,661994490.9306121,-0.16945772314362653
41,2454529.66626299,-9480.000000000024,804439617.289286,-0.16909479229981467
42,2455695.4551659,-9560.000000000022,559990434.0283899,-0.17051079611611433
43,2454913.49375278,-9450.000000000024,725158624.6308937,-0.16855651304930766
44,2455683.48254644,-9570.000000000022,697462997.0339854,-0.17069059692286923
45,2455647.56989566,-9210.00000000003,708612956.8301032,-0.1642745059255371
46,2455715.54624107,-9030.000000000033,415308252.8528392,-0.16105705516192614
47,2455575.86999575,-9500.000000000024,580818990.3751925,-0.16945835693549136
48,2455712.50992788,-9540.000000000022,553356759.2010444,-0.1701537493872964
49,2454806.85649805,-9800.000000000016,531242506.77892214,-0.17481164637594154
50,2454426.8302094,-9500.000000000024,1404694427.0226743,-0.16946025831108583
51,2455692.57896031,-10280.000000000007,293223782.1432222,-0.1833528823052105
52,2455711.5850517,-9540.000000000022,266200387.93158317,-0.17015327204188613
53,2454521.6752909,-9480.000000000024,693606699.9211226,-0.16909637344362474
54,2454884.60115495,-9480.000000000024,439247635.1671626,-0.16909653155800572
55,2455680.47608192,-9580.000000000022,497994660.348437,-0.17086944204994717
56,2455223.85779049,-9770.000000000018,502996651.4357258,-0.1742740469720473
57,2454799.82986427,-9500.000000000024,516164098.0165156,-0.16945994141515344
58,2455652.60245468,-9260.00000000003,707391113.4292141,-0.16516527920948226
59,2454799.82986427,-9500.000000000024,516164098.0165156,-0.16945994141515344
60,2455614.69050157,-8940.000000000035,497371860.46951115,-0.15946475983371308
61,2454643.49017793,-9550.000000000022,804415947.9135296,-0.1703314761693157
62,2455644.7085058,-9440.000000000024,620346642.8315923,-0.1683775109638963
